row_number,record_key,reason,payment_id,booking_id,payment_time,payment_method,payment_status,amount,currency,refund_amount,created_at,updated_at
798,PAY-5E08D656-F840-58B3-8A33-47DDA590E8C1,Invalid amount,PAY-5e08d656-f840-58b3-8a33-47dda590e8c1,BKG-5e08d656-f840-58b3-8a33-47dda590e8c1,2026-02-06 18:58:00,CREDIT_CARD,REFUNDED,not-a-number,Usd,112.41,2026-02-06 18:00:00,2026-02-06 18:00:00
857,PAY-90639EA2-F132-5AB7-A0E8-DF7D0C5819D9,Missing booking_id,PAY-90639ea2-f132-5ab7-a0e8-df7d0c5819d9,,2026-03-23 08:10:00,CREDIT_CARD,PAID,85.44,USD,0,2026-03-23 07:37:00,2026-03-25 13:37:00
1222,PAY-192042E3-1DE5-5FC1-B3E9-DD2236A3B8C6,Missing booking_id,PAY-192042e3-1de5-5fc1-b3e9-dd2236a3b8c6,,2026-03-30 23:14:00,CREDIT_CARD,FAILED,0,USD,0,2026-03-30 20:46:00,2026-03-31 08:46:00
1238,row-1238,Missing payment_id,,BKG-12a60893-a65d-5327-8bec-dec98591a8ef,2026-04-21 11:27:00,CREDIT_CARD,PAID,80.57,USD,0,2026-04-21 09:20:00,2026-04-22 00:20:00
1380,PAY-6AC66A6D-6E9A-5E5E-BC3B-2F6899A631CA,Invalid amount,PAY-6ac66a6d-6e9a-5e5e-bc3b-2f6899a631ca,BKG-6ac66a6d-6e9a-5e5e-bc3b-2f6899a631ca,2026-02-17 00:12:00,BANK_TRANSFER,PAID,not-a-number,USD,0,2026-02-16 22:09:00,2026-02-16 22:09:00
1381,PAY-6AC66A6D-6E9A-5E5E-BC3B-2F6899A631CA,Invalid amount,PAY-6ac66a6d-6e9a-5e5e-bc3b-2f6899a631ca,BKG-6ac66a6d-6e9a-5e5e-bc3b-2f6899a631ca,2026-02-17 00:12:00,BANK_TRANSFER,Paid,not-a-number,USD,0,2026-02-16 22:09:00,2026-02-18 21:09:00
1781,PAY-CA56D634-0FCE-584A-BBCB-4493BF93D208,Missing booking_id,PAY-ca56d634-0fce-584a-bbcb-4493bf93d208,,2026-03-21 01:21:00,CREDIT_CARD,PAID,157.67,USD,0,2026-03-21 00:13:00,2026-03-22 19:13:00
1899,PAY-8A04B1AE-95D8-5780-8997-21954A35E8E7,Missing booking_id,PAY-8a04b1ae-95d8-5780-8997-21954a35e8e7,,2026-01-07 11:07:00,DEBIT_CARD,PAID,149.37,USD,0,2026-01-07 10:40:00,2026-01-09 07:40:00
2062,PAY-442DC29C-5E77-55E7-8F83-D5F7D18A12B3,Invalid amount,PAY-442dc29c-5e77-55e7-8f83-d5f7d18a12b3,BKG-442dc29c-5e77-55e7-8f83-d5f7d18a12b3,2026-03-22 19:04:00,CREDIT_CARD,PAID,not-a-number,USD,0,2026-03-22 16:35:00,2026-03-24 08:35:00
2323,row-2323,Missing payment_id,,BKG-259eafa1-3288-507f-a195-e78364c7335a,2026-01-21 02:14:00,DEBIT_CARD,PAID,119.74,USD,0,2026-01-21 00:59:00,2026-01-21 04:59:00
2379,row-2379,Missing payment_id,,BKG-a4fa6067-2961-5b24-ad61-e1a931df3aea,2026-01-24 19:00:00,BANK_TRANSFER,PAID,129.72,USD,0,2026-01-24 16:52:00,2026-01-26 23:52:00
2393,row-2393,Missing payment_id,,BKG-67350807-5a6e-5ff4-9124-7abb091fd8e2,2026-04-08 15:47:00,CREDIT_CARD,FAILED,0,usd,0,2026-04-08 15:29:00,2026-04-10 02:29:00
2474,PAY-523C2C54-27E8-5D06-8BA7-E45813B4B52E,Missing booking_id,PAY-523c2c54-27e8-5d06-8ba7-e45813b4b52e,,2026-02-12 23:37:00,CREDIT_CARD,PAID,77.23,USD,0,2026-02-12 22:55:00,2026-02-14 01:55:00
2520,PAY-403899FA-1C36-5533-AC8B-FCA8E9D71B44,Missing booking_id,PAY-403899fa-1c36-5533-ac8b-fca8e9d71b44,,2026-04-09 22:28:00,PAYPAL,PAID,152.3,USD,0,2026-04-09 21:05:00,2026-04-11 08:05:00
3226,PAY-CE073F45-06B3-50BC-9C27-E5A0EC277E0E,Missing booking_id,PAY-ce073f45-06b3-50bc-9c27-e5a0ec277e0e,,2026-04-05 03:26:00,CREDIT_CARD,REFUNDED,210.51,USD,210.51,2026-04-05 03:03:00,2026-04-06 11:03:00
3614,PAY-83426DF9-2F71-5F66-B7BB-15C61FD54D2F,Missing booking_id,PAY-83426df9-2f71-5f66-b7bb-15c61fd54d2f,,2026-02-12 12:15:00,PAYPAL,PAID,250.09,USD,0,2026-02-12 12:09:00,2026-02-13 16:09:00
3776,PAY-BF9159D1-1EB5-55A8-9974-CD1DD2331BF7,Missing booking_id,PAY-bf9159d1-1eb5-55a8-9974-cd1dd2331bf7,,2026-01-30 23:58:00, CREDIT_CARD ,PAID,170.24,Usd,0,2026-01-30 21:05:00,2026-02-01 10:05:00
3777,PAY-BF9159D1-1EB5-55A8-9974-CD1DD2331BF7,Missing booking_id,PAY-bf9159d1-1eb5-55a8-9974-cd1dd2331bf7,,2026-01-30 23:58:00, CREDIT_CARD ,Paid,169.24,Usd,0,2026-01-30 21:05:00,2026-02-02 20:05:00
4033,PAY-D4FD7771-4F26-579C-9F59-D5E914A37E8A,Missing booking_id,PAY-d4fd7771-4f26-579c-9f59-d5e914a37e8a,,2026-02-14 08:53:00,CREDIT_CARD,PAID,247.6,USD,0,2026-02-14 05:59:00,2026-02-15 17:59:00
4102,PAY-712693ED-7EB6-5108-A597-C4C806039424,Missing booking_id,PAY-712693ed-7eb6-5108-a597-c4c806039424,,2026-02-06 13:33:00,CREDIT_CARD,PAID,217.54,USD,0,2026-02-06 13:07:00,2026-02-07 21:07:00
4609,PAY-7932D6FE-D44E-58C0-8794-B40F54C1AD8A,Missing booking_id,PAY-7932d6fe-d44e-58c0-8794-b40f54c1ad8a,,2026-03-09 08:08:00,DEBIT_CARD,PAID,218.37,USD,0,2026-03-09 05:29:00,2026-03-10 13:29:00
4948,PAY-F3F27274-BEAA-5747-A62F-4A66BC147EE1,Missing booking_id,PAY-f3f27274-beaa-5747-a62f-4a66bc147ee1,,2026-01-15 09:10:00,BANK_TRANSFER,PAID,148.97,USD,0,2026-01-15 06:22:00,2026-01-15 17:22:00
5041,PAY-E150DE83-F676-5739-BADE-547E62928829,Missing booking_id,PAY-e150de83-f676-5739-bade-547e62928829,,2026-02-04 01:11:00,CREDIT_CARD,PAID,223.71,USD,0,2026-02-04 00:43:00,2026-02-06 09:43:00
5521,PAY-76AFD50F-30C6-54CA-9CBB-D6D31F95265F,Invalid amount,PAY-76afd50f-30c6-54ca-9cbb-d6d31f95265f,BKG-76afd50f-30c6-54ca-9cbb-d6d31f95265f,2026-03-03 04:12:00,PAYPAL,PAID,not-a-number,USD,0,2026-03-03 02:09:00,2026-03-03 18:09:00
5698,PAY-C17397E8-5E25-5062-91F9-2A660303A4E1,Missing booking_id,PAY-c17397e8-5e25-5062-91f9-2a660303a4e1,,2026-03-26 07:37:00,CREDIT_CARD,FAILED,0,USD,0,2026-03-26 05:06:00,2026-03-27 01:06:00
6116,row-6116,Missing payment_id,,BKG-2e5dc3a4-34fe-5f4a-97a7-7c1e4247ab45,2026-02-10 00:49:00,DEBIT_CARD,PAID,314.9,USD,0,2026-02-09 23:08:00,2026-02-11 05:08:00
6368,PAY-036B59B8-AF98-55C4-9BB1-F73407F1BF42,Invalid amount,PAY-036b59b8-af98-55c4-9bb1-f73407f1bf42,BKG-036b59b8-af98-55c4-9bb1-f73407f1bf42,2026-02-06 00:34:00,CREDIT_CARD,PAID,not-a-number,USD,0,2026-02-05 23:15:00,2026-02-08 13:15:00
7177,PAY-EEDB9652-6B14-5425-A6C1-F011D2B1E0DC,Missing booking_id,PAY-eedb9652-6b14-5425-a6c1-f011d2b1e0dc,,2026-02-16 20:55:00,CREDIT_CARD,FAILED,0,USD,0,2026-02-16 20:05:00,2026-02-19 18:05:00
7178,PAY-EEDB9652-6B14-5425-A6C1-F011D2B1E0DC,Missing booking_id,PAY-eedb9652-6b14-5425-a6c1-f011d2b1e0dc,,2026-02-16 20:55:00,CREDIT_CARD,Failed,0,USD,0,2026-02-16 20:05:00,2026-02-21 03:05:00
7409,PAY-E1A7BFB1-DFC6-5EC5-9844-E725CF79844F,Missing booking_id,PAY-e1a7bfb1-dfc6-5ec5-9844-e725cf79844f,,2026-01-27 16:23:00,CREDIT_CARD,REFUNDED,210.31,USD,210.31,2026-01-27 13:31:00,2026-01-30 04:31:00
7557,row-7557,Missing payment_id,,BKG-190aaac5-43db-5c7a-81d7-88af919f49d1,2026-04-09 19:58:00,CREDIT_CARD,FAILED,0,USD,0,2026-04-09 19:01:00,2026-04-11 18:01:00
